Class,Subject/Discipline,Chapter Number,Chapter Name
Class 2,Hindi (Rimjhim),21,चंपा और चंपू
Class 2,Hindi (Rimjhim),22,साँवली सी एंकर
Class 2,Hindi (Rimjhim),23,संसार
Class 3,Mathematics,1,Shapes and Space
Class 3,Mathematics,2,Numbers from One to Nine
Class 3,Mathematics,3,Addition
Class 3,Mathematics,4,Subtraction
Class 3,Mathematics,5,Fun with Give and Take
Class 3,Mathematics,6,Shapes and Patterns
Class 3,Mathematics,7,Jugs and Mugs
Class 3,Mathematics,8,Can We Share?
Class 3,Mathematics,9,Smart Charts
Class 3,Mathematics,10,Waste Material
Class 3,Mathematics,11,Time Goes On
Class 3,Mathematics,12,The Way The World Looks
Class 3,Mathematics,13,Play with Patterns
Class 3,Mathematics,14,Who Is Heavier?
Class 3,Mathematics,15,Pictographs
Class 3,Mathematics,16,Fun with Numbers
Class 3,Environmental Studies,1,Food
Class 3,Environmental Studies,2,Clothing
Class 3,Environmental Studies,3,Housing
Class 3,Environmental Studies,4,Family and Friends
Class 3,Environmental Studies,5,Our Neighbourhood
Class 3,Environmental Studies,6,Our Folktales
Class 3,Environmental Studies,7,Games We Play
Class 3,Environmental Studies,8,Our Toys
Class 3,Environmental Studies,9,Our Health
Class 3,Environmental Studies,10,Our Travel
Class 3,Environmental Studies,11,What We Do
Class 3,Environmental Studies,12,Our Helpers
Class 3,Environmental Studies,13,Our Animals
Class 3,Environmental Studies,14,Plant Life
Class 3,Environmental Studies,15,Water
Class 3,Environmental Studies,16,Air Around Us
Class 3,Environmental Studies,17,Our Sky
Class 3,Environmental Studies,18,Our Earth
Class 3,Environmental Studies,19,Looking at the Sky
Class 3,Environmental Studies,20,What do we see?
Class 3,Environmental Studies,21,Going to School
Class 3,English (Marigold),1,The Magic Pot
Class 3,English (Marigold),2,Grandfather's Private Zoo
Class 3,English (Marigold),3,My Dog
Class 3,English (Marigold),4,The Story of the Road
Class 3,English (Marigold),5,The Little Girl
Class 3,English (Marigold),6,The Rainbow
Class 3,English (Marigold),7,What is Yellow?
Class 3,English (Marigold),8,The Oak Tree
Class 3,English (Marigold),9,The Magic Garden
Class 3,English (Marigold),10,The Little Turtle
Class 3,English (Marigold),11,The Enchanted Pool
Class 3,English (Marigold),12,The Story of the Old Farmer
Class 3,Hindi (Rimjhim),1,नूतन सखी
Class 3,Hindi (Rimjhim),2,लाली
Class 3,Hindi (Rimjhim),3,नन्हे के पांव
Class 3,Hindi (Rimjhim),4,चाँदी की डलिया
Class 3,Hindi (Rimjhim),5,मिट्ठू की किताब
Class 3,Hindi (Rimjhim),6,सवाल और जवाब
Class 3,Hindi (Rimjhim),7,मेरा दोस्त
Class 3,Hindi (Rimjhim),8,छोटा गेंदबाज
Class 3,Hindi (Rimjhim),9,चित्रों की कहानी
Class 3,Hindi (Rimjhim),10,खिलौनेवाला
Class 3,Hindi (Rimjhim),11,चुनnu-मुनnu
Class 3,Hindi (Rimjhim),12,बंदर और बंदरिया
Class 3,Hindi (Rimjhim),13,मैं क्या हूँ
Class 3,Hindi (Rimjhim),14,नीलकंठ
Class 3,Hindi (Rimjhim),15,गाँव की हाट
Class 3,Hindi (Rimjhim),16,मेरी चित्रकला
Class 3,Hindi (Rimjhim),17,मेरी दिल्ली यात्रा
Class 3,Hindi (Rimjhim),18,संसार की सबसे बड़ी चीज
Class 4,Mathematics,1,Building Blocks
Class 4,Mathematics,2,Numbers Up to Ten Thousand
Class 4,Mathematics,3,Playing with Numbers
Class 4,Mathematics,4,Basic Geometrical Figures
Class 4,Mathematics,5,Understanding Elementary Shapes
Class 4,Mathematics,6,Integers
Class 4,Mathematics,7,Fractions
Class 4,Mathematics,8,Decimals
Class 4,Mathematics,9,Data Handling
Class 4,Mathematics,10,Measurement
Class 4,Mathematics,11,Money
Class 4,Mathematics,12,Time
Class 4,Mathematics,13,Symmetry
Class 4,Mathematics,14,Patterns
Class 4,Environmental Studies,1,Going to School
Class 4,Environmental Studies,2,Our Family
Class 4,Environmental Studies,3,Housing and Clothing
Class 4,Environmental Studies,4,Water
Class 4,Environmental Studies,5,Travel
Class 4,Environmental Studies,6,Our Food
Class 4,Environmental Studies,7,Plant and Animals
Class 4,Environmental Studies,8,The Earth Our Habitat
Class 4,Environmental Studies,9,Air Around Us
Class 4,Environmental Studies,10,Our State And Country
Class 4,English (Marigold),1,The Little Girl
Class 4,English (Marigold),2,The Adventures of Toto
Class 4,English (Marigold),3,Beautiful Eyes
Class 4,English (Marigold),4,The Fly Away Horse
Class 4,English (Marigold),5,Maya
Class 4,English (Marigold),6,The Happy Prince
Class 4,English (Marigold),7,The Lost Happy Endings
Class 4,English (Marigold),8,The Story of Cricket
Class 4,English (Marigold),9,Dust of Snow
Class 4,English (Marigold),10,The Last Bargain
Class 4,English (Marigold),11,The Fun They Had
Class 4,English (Marigold),12,The Ashes That Made Trees Bloom
Class 4,English (Marigold),13,Jalebis
Class 4,English (Marigold),14,Nali
Class 4,English (Marigold),15,The Cop and the Anthem
Class 4,English (Marigold),16,Golu Grows a Nose
Class 4,English (Marigold),17,The Stolen White Elephant
Class 4,Hindi (Rimjhim),1,संज्ञा
Class 4,Hindi (Rimjhim),2,सर्वनाम
Class 4,Hindi (Rimjhim),3,विशेषण
Class 4,Hindi (Rimjhim),4,क्रिया
Class 4,Hindi (Rimjhim),5,वाच्य
Class 4,Hindi (Rimjhim),6,वाक्य
Class 4,Hindi (Rimjhim),7,प्रत्यय
Class 4,Hindi (Rimjhim),8,उपसर्ग
Class 4,Hindi (Rimjhim),9,अलंकार
Class 4,Hindi (Rimjhim),10,छंद
Class 5,Mathematics,1,Introduction to Fractions
Class 5,Mathematics,2,Shapes and Angles
Class 5,Mathematics,3,How Many Squares?
Class 5,Mathematics,4,Parts and Wholes
Class 5,Mathematics,5,Can You Think?
Class 5,Mathematics,6,Fun with Numbers
Class 5,Mathematics,7,Smart Charts
Class 5,Mathematics,8,Who Is Heavier?
Class 5,Mathematics,9,Area and Its Boundary
Class 5,Mathematics,10,Tenths and Hundredths
Class 5,Mathematics,11,Money
Class 5,Mathematics,12,Decimals
Class 5,Mathematics,13,Profit Loss and Discounts
Class 5,Mathematics,14,Graphs
Class 5,Mathematics,15,Nets and Solids
Class 5,Environmental Studies,1,Food and Its Components
Class 5,Environmental Studies,2,Our Clothes
Class 5,Environmental Studies,3,Housing and Clothing
Class 5,Environmental Studies,4,Natural Resources
Class 5,Environmental Studies,5,Separation of Substances
Class 5,Environmental Studies,6,The Sun
Class 5,Environmental Studies,7,The World of Living
Class 5,Environmental Studies,8,Waste Water Management
Class 5,Environmental Studies,9,Our Surroundings
Class 5,Environmental Studies,10,Transport Communication and Disasters
Class 5,Environmental Studies,11,Living Organisms and Their Surroundings
Class 5,Environmental Studies,12,Sectors of the Indian Economy
Class 5,Environmental Studies,13,Inside the Earth
Class 5,Environmental Studies,14,When the Earth Shook
Class 5,Environmental Studies,15,Disaster Management
Class 5,English (Marigold),1,My Mother
Class 5,English (Marigold),2,The Little Girl
Class 5,English (Marigold),3,The Adventures of Toto
Class 5,English (Marigold),4,Nancy
Class 5,English (Marigold),5,The Happy Ending
Class 5,English (Marigold),6,Market Day
Class 5,English (Marigold),7,The Talkative Barber
Class 5,English (Marigold),8,The Banyan Tree
Class 5,English (Marigold),9,The Gift
Class 5,English (Marigold),10,Who Did Patrick's Homework?
Class 5,English (Marigold),11,The New Colours
Class 5,English (Marigold),12,Journey to the Centre of the Earth
Class 5,English (Marigold),13,The Little Bird
Class 5,English (Marigold),14,How To Tell Wild Animals
Class 5,English (Marigold),15,The Great Indian Desert
Class 5,English (Marigold),16,The Cobra and the Mongoose
Class 5,English (Marigold),17,Where Did The Water Go?
Class 5,English (Marigold),18,The Magic Garden
Class 5,English (Marigold),19,The Story of The Road
Class 5,English (Marigold),20,The Fish Tale
Class 5,English (Marigold),21,The Friendly Mongoose
Class 5,English (Marigold),22,The Shepherd's Treasure
Class 5,English (Marigold),23,The Old Clock Shop
Class 5,English (Marigold),24,The Little Temple
Class 5,English (Marigold),25,The Kingdom of Fools
Class 5,English (Marigold),26,The Magic Drum
Class 5,English (Marigold),27,The Strange Incident
Class 5,English (Marigold),28,The Rain
Class 5,English (Marigold),29,The Little Old Man
Class 5,English (Marigold),30,My Elder Brother
Class 5,English (Marigold),31,The Story of The First Letter
Class 5,English (Marigold),32,The Sound of Laughter
Class 5,English (Marigold),33,The Story and Its Writer
Class 5,English (Marigold),34,The Ashes That Made Trees Bloom
Class 5,Hindi (Rimjhim),1,इतिहास
Class 5,Hindi (Rimjhim),2,साथी हाथ बढ़ाना
Class 5,Hindi (Rimjhim),3,नान्हे
Class 5,Hindi (Rimjhim),4,संगीत का जादू
Class 5,Hindi (Rimjhim),5,चंपाकलाल जी
Class 5,Hindi (Rimjhim),6,अनोखा पाठ
Class 5,Hindi (Rimjhim),7,सपनों की उड़ान
Class 5,Hindi (Rimjhim),8,बड़े भाई साहब
Class 5,Hindi (Rimjhim),9,चित्रों की भाषा
Class 5,Hindi (Rimjhim),10,रामू काका
Class 5,Hindi (Rimjhim),11,एकता में अनेकता
Class 5,Hindi (Rimjhim),12,सобन-सी भेना
Class 5,Hindi (Rimjhim),13,मैं क्या हूँ
Class 5,Hindi (Rimjhim),14,नाट्य लेखक की खोज में
Class 5,Hindi (Rimjhim),15,साथ में तुम्हारी
Class 5,Hindi (Rimjhim),16,पापा खुश हैं
Class 5,Hindi (Rimjhim),17,चुनौती
Class 5,Hindi (Rimjhim),18,अपनी बढ़ती छाँव
11,Physics,1,Physical World
11,Physics,2,Units and Measurements
11,Physics,3,Motion in a Straight Line
11,Physics,4,Motion in a Plane
11,Physics,5,Law of Motion
11,Physics,6,Work Energy and Power
11,Physics,7,System of Particles and Rotational Motion
11,Physics,8,Gravitation
11,Physics,9,Mechanical Properties of Solids
11,Physics,10,Mechanical Properties of Fluids
11,Physics,11,Thermal Properties of Matter
11,Physics,12,Thermodynamics
11,Physics,13,Kinetic Theory
11,Chemistry,1,Some Basic Concepts of Chemistry
11,Chemistry,2,Structure of Atom
11,Chemistry,3,Classification of Elements and Periodicity in Properties
11,Chemistry,4,Chemical Bonding and Molecular Structure
11,Chemistry,5,States of Matter
11,Chemistry,6,Thermodynamics
11,Chemistry,7,Equilibrium
11,Chemistry,8,Redox Reactions
11,Chemistry,9,Hydrogen
11,Chemistry,10,s-Block Elements
11,Chemistry,11,Some p-Block Elements
11,Chemistry,12,Organic Chemistry - Some Basic Principles and Techniques
11,Mathematics,1,Sets
11,Mathematics,2,Relations and Functions
11,Mathematics,3,Trigonometric Functions
11,Mathematics,4,Principle of Mathematical Induction
11,Mathematics,5,Complex Numbers and Quadratic Equations
11,Mathematics,6,Linear Inequalities
11,Mathematics,7,Permutations and Combinations
11,Mathematics,8,Binomial Theorem
11,Mathematics,9,Sequences and Series
11,Mathematics,10,Straight Lines
11,Mathematics,11,Conic Sections
11,Mathematics,12,Introduction to Three Dimensional Geometry
11,Mathematics,13,Limits and Derivatives
11,Mathematics,14,Mathematical Reasoning
11,Mathematics,15,Statistics
11,Mathematics,16,Probability
11,Biology,1,The Living World
11,Biology,2,Biological Classification
11,Biology,3,Plant Kingdom
11,Biology,4,Animal Kingdom
11,Biology,5,Morphology of Flowering Plants
11,Biology,6,Anatomy of Flowering Plants
11,Biology,7,Structural Organisation in Animals
11,Biology,8,Cell: The Unit of Life
11,Biology,9,Biomolecules
11,Biology,10,Cell Cycle and Cell Division
11,Biology,11,Transport in Plants
11,Biology,12,Mineral Nutrition
11,Biology,13,Photosynthesis in Higher Plants
11,Biology,14,Respiration in Plants
11,Biology,15,Plant Growth and Development
11,Biology,16,Digestion and Absorption
11,Biology,17,Breathing and Exchange of Gases
11,Biology,18,Body Fluids and Circulation
11,Biology,19,Excretory Products and their Elimination
11,Biology,20,Locomotion and Movement
11,Biology,21,Neural Control and Coordination
11,Biology,22,Chemical Coordination and Integration
11,English Core,1,The Portrait of a Lady
11,English Core,2,The Ghat of the Only World
11,English Core,3,The Address
11,English Core,4,The Tale of Melon City
11,English Core,5,The Diary of a Young Girl
11,English Core,6,Discovering Tut: The Saga Continues
11,English Core,7,Lost Spring
11,English Core,8,Not Marble nor the Gilded Monuments
11,English Core,9,A Photograph
11,English Core,10,The Laburnum Top
11,English Core,11,The Voice of the Rain
11,English Core,12,A Roadside Stand
11,English Core,13,Aunt Jennifer's Tigers
11,English Core,14,My Mother at Sixty-six
11,English Core,15,An Elementary School Classroom in a Slum
11,English Core,16,The Squirrel
11,English Core,17,The Rebel
11,English Core,18,The Suit
11,English Core,19,The Voice in the Spell
11,English Core,20,The Rattrap
11,English Core,21,Birth
11,English Core,22,The Tale of the Ticker
11,English Core,23,The Interview
11,English Core,24,Going Places
11,English Core,25,Pappachi's Moth
11,English Core,26,The Adventure
11,English Core,3,Discovering Tut: The Saga Continues
11,English Core,4,Lost Spring
11,English Core,5,A Photograph
11,English Core,6,The Laburnum Top
11,English Core,7,The Adventure
11,English Core,8,Silk Road
11,English Core,9,A Roadside Stand
11,English Core,10,Aunt Jennifer's Tigers
11,English Core,11,My Mother at Sixty-six
11,English Core,12,An Elementary School Classroom in a Slum
11,English Core,13,Snake
11,English Core,14,The Browning Version
11,English Core,15,The Address
11,English Core,16,Ranga's Marriage
11,English Core,17,Albert Einstein at School
11,English Core,18,If I Were You
11,English Core,19,The Best Christmas Present in the World
11,English Core,20,Ghat of the Only World
11,English Core,22,The Tale of Melon City
12,Physics,1,Electric Charges and Fields
12,Physics,2,Electrostatic Potential and Capacitance
12,Physics,3,Current Electricity
12,Physics,4,Moving Charges and Magnetism
12,Physics,5,Magnetism and Matter
12,Physics,6,Electromagnetic Induction
12,Physics,7,Alternating Current
12,Physics,8,Electromagnetic Waves
12,Physics,9,Ray Optics and Optical Instruments
12,Physics,10,Wave Optics
12,Physics,11,Dual Nature of Radiation and Matter
12,Physics,12,Atoms
12,Physics,13,Nuclei
12,Physics,14,Semiconductor Electronics: Materials Devices and Simple Circuits
12,Chemistry,1,Solid State
12,Chemistry,2,Solutions
12,Chemistry,3,Electrochemistry
12,Chemistry,4,Chemical Kinetics
12,Chemistry,5,Surface Chemistry
12,Chemistry,6,General Principles and Processes of Isolation of Elements
12,Chemistry,7,The p-Block Elements
12,Chemistry,8,The d- and f-Block Elements
12,Chemistry,9,Coordination Compounds
12,Chemistry,10,Haloalkanes and Haloarenes
12,Chemistry,11,Alcohols Phenols and Ethers
12,Chemistry,12,Aldehydes Ketones and Carboxylic Acids
12,Chemistry,13,Organic Compounds Containing Nitrogen
12,Chemistry,14,Biomolecules
12,Chemistry,15,Polymers
12,Chemistry,16,Chemistry in Everyday Life
12,Mathematics,1,Relations and Functions
12,Mathematics,2,Inverse Trigonometric Functions
12,Mathematics,3,Matrices
12,Mathematics,4,Determinants
12,Mathematics,5,Continuity and Differentiability
12,Mathematics,6,Application of Derivatives
12,Mathematics,7,Integrals
12,Mathematics,8,Application of Integrals
12,Mathematics,9,Differential Equations
12,Mathematics,10,Vector Algebra
12,Mathematics,11,Three Dimensional Geometry
12,Mathematics,12,Linear Programming
12,Biology,1,Reproduction in Organisms
12,Biology,2,Sexual Reproduction in Flowering Plants
12,Biology,3,Human Reproduction
12,Biology,4,Reproductive Health
12,Biology,5,Principles of Inheritance and Variation
12,Biology,6,Molecular Basis of Inheritance
12,Biology,7,Evolution
12,Biology,8,Human Health and Disease
12,Biology,9,Strategies for Enhancement in Food Production
12,Biology,10,Microbes in Human Welfare
12,Biology,11,Biotechnology : Principles and Processes
12,Biology,12,Biotechnology and its Applications
12,Biology,13,Organisms and Populations
12,Biology,14,Ecosystem
12,Biology,15,Biodiversity and Conservation
12,Biology,16,Environmental Issues
12,English Core,1,Flamingo: Introduction
12,English Core,2,Flamingo: The Last Lesson
12,English Core,3,Flamingo: Lost Spring
12,English Core,4,Flamingo: Deep Water
12,English Core,5,Flamingo: The Rattrap
12,English Core,6,Flamingo: Indigo
12,English Core,7,Flamingo: The Treasure Trove
12,English Core,8,Vistas: The Third Level
12,English Core,9,Vistas: The Tiger King
12,English Core,10,Vistas: Journey to the End of the Earth
12,English Core,11,Vistas: The Enemy
12,English Core,12,Vistas: Should Wizard Hit Mommy?
12,English Core,13,Vistas: On the Face of It
12,English Core,14,Vistas: Evans Tries an O-Level
12,English Core,15,Kaleidoscope: The Adventure
